season,week,game_id,posteam,defteam,play_type,down,ydstogo,yardline_100,yards_gained,touchdown,pass_attempt,rush_attempt,epa,success,passer_player_name,rusher_player_name,receiver_player_name
2024,1,2024_01_GB_PHI,PHI,GB,pass,2.0,10.0,77.0,13.0,0.0,1.0,0.0,0.9572122148238122,1.0,J.Hurts,,A.Brown
2024,1,2024_01_GB_PHI,PHI,GB,pass,1.0,10.0,64.0,0.0,0.0,1.0,0.0,-0.5299936505034566,0.0,J.Hurts,,
2024,1,2024_01_GB_PHI,PHI,GB,run,2.0,10.0,64.0,3.0,0.0,0.0,1.0,-0.5722200007876381,0.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,pass,3.0,7.0,61.0,21.0,0.0,1.0,0.0,1.3810941975098103,1.0,J.Hurts,,D.Goedert
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,40.0,2.0,0.0,0.0,1.0,-0.45372057671193033,0.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,pass,2.0,8.0,38.0,0.0,0.0,1.0,0.0,-0.37368224596139044,0.0,J.Hurts,,J.Wilson
2024,1,2024_01_GB_PHI,PHI,GB,run,3.0,8.0,38.0,5.0,0.0,0.0,1.0,0.07414535462157801,1.0,,J.Hurts,
2024,1,2024_01_GB_PHI,PHI,GB,pass,4.0,3.0,33.0,7.0,0.0,1.0,0.0,1.678614962962456,1.0,J.Hurts,,D.Smith
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,26.0,2.0,0.0,0.0,1.0,-0.20392252586316317,0.0,,K.Gainwell,
2024,1,2024_01_GB_PHI,PHI,GB,pass,2.0,8.0,24.0,10.0,0.0,1.0,0.0,1.5395630496786907,1.0,J.Hurts,,K.Gainwell
2024,1,2024_01_GB_PHI,PHI,GB,pass,1.0,10.0,14.0,-6.0,0.0,1.0,0.0,-1.2371860288549215,0.0,J.Hurts,,
2024,1,2024_01_GB_PHI,PHI,GB,no_play,2.0,16.0,20.0,0.0,0.0,0.0,0.0,-0.4762554944609292,0.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,pass,2.0,21.0,25.0,5.0,0.0,1.0,0.0,0.18651496490929276,1.0,J.Hurts,,D.Goedert
2024,1,2024_01_GB_PHI,PHI,GB,qb_spike,3.0,16.0,20.0,0.0,0.0,1.0,0.0,0.47520340167590813,1.0,J.Hurts,,
2024,1,2024_01_GB_PHI,PHI,GB,field_goal,4.0,16.0,20.0,0.0,0.0,0.0,0.0,0.3662677617636563,1.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,kickoff,,0.0,35.0,0.0,0.0,0.0,0.0,0.2578191561624408,1.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,70.0,3.0,0.0,0.0,1.0,-0.20063089346513152,0.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,pass,2.0,7.0,67.0,67.0,1.0,1.0,0.0,6.1725893705151975,1.0,J.Hurts,,A.Brown
2024,1,2024_01_GB_PHI,PHI,GB,extra_point,,0.0,15.0,0.0,0.0,0.0,0.0,0.06757300310763314,1.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,kickoff,,0.0,35.0,0.0,0.0,0.0,0.0,0.2969418875873089,1.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,pass,1.0,10.0,70.0,0.0,0.0,1.0,0.0,-0.5560332285240293,0.0,J.Hurts,,D.Goedert
2024,1,2024_01_GB_PHI,PHI,GB,run,2.0,10.0,70.0,2.0,0.0,0.0,1.0,-0.5987001834437251,0.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,pass,3.0,8.0,68.0,-6.0,0.0,1.0,0.0,-1.9036554130725563,0.0,J.Hurts,,
2024,1,2024_01_GB_PHI,PHI,GB,punt,4.0,14.0,74.0,0.0,0.0,0.0,0.0,1.4250894361175597,1.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,68.0,8.0,0.0,0.0,1.0,0.5234520807862282,1.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,run,2.0,2.0,60.0,0.0,0.0,0.0,1.0,-0.7662190622650087,0.0,,J.Hurts,
2024,1,2024_01_GB_PHI,PHI,GB,pass,3.0,2.0,60.0,0.0,0.0,1.0,0.0,-1.7167729055508971,0.0,J.Hurts,,
2024,1,2024_01_GB_PHI,PHI,GB,punt,4.0,2.0,60.0,0.0,0.0,0.0,0.0,0.6099190954118967,1.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,pass,1.0,10.0,24.0,8.0,0.0,1.0,0.0,0.4781103680143133,1.0,J.Hurts,,D.Smith
2024,1,2024_01_GB_PHI,PHI,GB,run,2.0,2.0,16.0,5.0,0.0,0.0,1.0,0.17192863550735638,1.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,11.0,9.0,0.0,0.0,1.0,1.0103702077758498,1.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,run,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.9831246550893411,1.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,extra_point,,0.0,15.0,0.0,0.0,0.0,0.0,0.06757300310763314,1.0,,,
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,67.0,34.0,0.0,0.0,1.0,2.2310153066646308,1.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,pass,1.0,10.0,33.0,0.0,0.0,1.0,0.0,-0.4354077448369935,0.0,J.Hurts,,A.Brown
2024,1,2024_01_GB_PHI,PHI,GB,pass,2.0,10.0,33.0,11.0,0.0,1.0,0.0,1.248902584775351,1.0,J.Hurts,,G.Calcaterra
2024,1,2024_01_GB_PHI,PHI,GB,pass,1.0,10.0,22.0,11.0,0.0,1.0,0.0,0.5319493574206717,1.0,J.Hurts,,A.Brown
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,11.0,-3.0,0.0,0.0,1.0,-0.9896587215480395,0.0,,J.Hurts,
2024,1,2024_01_GB_PHI,PHI,GB,pass,2.0,13.0,14.0,0.0,0.0,1.0,0.0,-0.7625125554623082,0.0,J.Hurts,,J.Dotson
